lkd-id,version,changeNote,editorialNote (ei julkaista)
bffi:scriptOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:script
bffi:SerialExpression,v0.8.0,Added owl:disjointWith bffi:SeriesExpression,2024-10-09 diakroniset teokset issuessa
bffi:SerialWork,v0.8.0,Added owl:disjointWith bffi:SeriesWork,2024-10-09 diakroniset teokset issuessa
bffi:SeriesExpression,v0.8.0,Added owl:disjointWith bffi:SerialExpression,2024-10-09 diakroniset teokset issuessa
bffi:SeriesWork,v0.8.0,Added owl:disjointWith bffi:SerialWork,2024-10-09 diakroniset teokset issuessa
bffi:soundContentOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:soundContent
bffi:soundContentOfRepresentativeExpression,v0.7.0,,2024-08-22 Deleted PDCA12 kuukausityöpajassa aggregaattien käsittelyssä
bffi:Source,v0.6.0,Removed mapping to RDA value vocabulary,2024-04-18 Removed mapping to wrong mts: and RDA value vocabularies (not rdasource:)
bffi:sourceConsulted,v0.6.0,Changed range from bffi:Source to bffi:SourceConsulted; Removed subPropertyOf bffi:derivedFrom,2024-05-08 Changed.  2024-06-05 Removed subPropertyOf bffi:derivedFrom
bffi:SourceConsulted,v0.6.0,,2024-05-08 New
bffi:sourceConsultedOf,v0.6.0,,2023-06-05 Deleted. We do not want to link from Manifestation to AdminMetadata
bffi:subcollection,v0.5.0,,2024-03-27: changed domain and range to bffi:CollectionManifestation
bffi:subcollection,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:subcollectionOf,v0.5.0,,2024-03-27: changed domain and range to bffi:CollectionManifestation
bffi:subcollectionOf,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:succeededBy,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
